well_name,metric_month,Net_Operating_Profit_to_WI_Owners,Oil_Production_Tax,Oil_Sales_Bbls,Total_Revenue,Total_WI_Expenses,Workover_Cost
Addie Hinds 1H,01-09-2023,12799.37,1329.17,352.71,28847.29,7674.09,0
Addie Hinds 2H,01-09-2023,13644.8,1444.96,383.44,31360.21,8612.14,0
Briscoe Dickerson 1H,01-09-2023,5358.87,1158.72,307.48,25147.99,12091.43,0
Briscoe Dickerson 2H,01-09-2023,6116.81,1248.89,331.41,27104.91,12554.1,0
Carter Unit 7H,01-09-2023,5570.18,1137.39,301.82,24684.65,11948.98,0
Carter Unit 8H,01-09-2023,-32816.67,859.64,228.11,18656.73,46057.7,37794.19
Conley Hickman 2H,01-09-2023,7032.87,1411.81,374.64,30640.68,14673.29,0
Cora Malone 1H,01-09-2023,7866.9,2163.35,574.07,46951.46,25455.45,6856.47
Cora Malone 3H,01-09-2023,9651.5,1345.7,357.1,29205.94,11076.51,1003.42
Cora Malone 4H,01-09-2023,13850.17,3296.42,874.74,71542.57,36924.96,10259.49
Davis B Wilson 2H,01-09-2023,13844.56,1212.89,321.85,26323.38,4837.64,0
Davis B Wilson 3H,01-09-2023,17078.29,1389.18,368.63,30149.51,4319.4,0
Davis B Wilson 4H,01-09-2023,-7048.32,1551.91,411.82,33681.15,30952.47,24883.73
Davis B Wilson 5H,01-09-2023,20665.43,2133.2,566.07,46296.94,12192.39,0
Floy Gray 1H,01-09-2023,53215.98,3926.11,1041.83,85208.54,9057.74,0
Floy Gray 2H,01-09-2023,20917.46,1683.28,446.68,36532.23,5781.7,0
Floyd Tiller 1H,01-09-2023,1908.71,361.76,96,7851.27,3663.49,0
Floyd Tiller 3H,01-09-2023,7879.66,1129.44,299.71,24512.37,9517.24,0
Floyd Tiller 5H,01-09-2023,4485.43,544.29,144.43,11812.79,3872.24,0
Floyd Tiller 6H,01-09-2023,17964.72,1485.5,394.19,32239.78,4845.26,0
Floyd Tiller 7H,01-09-2023,23098.77,2482.25,658.69,53872.56,15135.61,0
Floyd Tiller 9H,01-09-2023,12581.29,1151.02,305.44,24980.81,5092.9,0
Floyd Tiller 10H,01-09-2023,24762.32,2892.69,767.6,62779.95,19793.8,0
Floyd Tiller 12H,01-09-2023,2803.15,485.92,128.94,10546.02,4658.27,0
J.B. Northcutt 2H,01-09-2023,13766.63,1605.46,426.03,34843.58,10962.53,0
J.B. Northcutt A 3H,01-09-2023,5248.73,719.58,190.95,15617.23,5924.5,0
J.B. Northcutt 6H,01-09-2023,9149.9,1156.61,306.92,25102.2,8665.62,0
J.L. New 1H,01-09-2023,35481.57,2738.93,726.81,59443.61,9856,0
Mary B Johnson 1BH,01-09-2023,33113.63,2501.57,663.82,54291.53,5543.64,0
Mary B Johnson 4H,01-09-2023,11923.47,1221.62,324.17,26512.76,6893.13,0
Mary B Johnson 5H,01-09-2023,11129.85,1120.17,297.25,24311.01,6124.13,0
Mary B Johnson 6H,01-09-2023,25714.46,2483.81,659.11,53906.22,12543.81,0
Mary B Johnson 7H,01-09-2023,12325.95,1126.93,299.04,24457.79,5032.21,0
Merriweather South 5H,01-09-2023,17155.16,1975,524.09,42863.75,13266.06,0
Mose Baggett A 1H,01-09-2023,16882.98,2142.47,568.53,46498.36,16117.8,7974.1
Moses Baggett 2H,01-09-2023,25011.57,3035.59,805.53,65881.49,22122.86,0
Moses Baggett 3H,01-09-2023,15821.97,1827.65,484.98,39665.45,12556.37,0
Moses Watson 1H,01-09-2023,-3423.68,852.58,226.24,18503.63,16556.06,4274.18
Moses Watson 2H,01-09-2023,-14704.91,576.32,152.93,12507.81,23581.94,3610.31
Moses Watson 3H,01-09-2023,-122250.45,1402.98,372.3,30449.04,143860.72,128866.43
Northcutt Dye 1H,01-09-2023,4156.5,685.29,181.85,14872.82,6399.02,0
